product_group_id,product_group_name,product_group_description
1,Smart Home Electronics,"Product group consisting of smart home devices and appliances, such as smart speakers, thermostats, lighting, and home security systems."
2,Home Entertainment,"Includes televisions, sound systems, streaming devices, and other home entertainment products."
3,Smartphones,"Flagship smartphone models and mid-range/budget smartphone offerings."
4,Laptops and Tablets,"Lightweight and high-performance laptops, as well as tablets for personal and business use."
5,Wearable Devices,"Smartwatches, fitness trackers, and other wearable technology products."
6,Smart Kitchen Appliances,"Connected kitchen appliances, such as refrigerators, ovens, and coffee makers."
7,Renewable Energy Solutions,"Solar panels, energy storage systems, and other renewable energy products for residential and commercial use."
8,Accessories and Peripherals,"Includes cables, chargers, cases, and other accessories for ABC Manufacturing's core product lines."
9,Industrial Electronics,"Specialized electronics and control systems for industrial applications."
10,Audiovisual Equipment,"Professional-grade audio and video equipment, such as projectors, speakers, and audio mixers."